t,tauM,thetaM,Reference
0.0006103515625,-0.022411249577999115,-0.000029786035156575963,1.1703345137448196e-7
0.00115966796875,-0.022411249577999115,-0.000029786035156575963,4.2249075704603456e-7
0.001708984375,-0.022411249577999115,-0.000029786035156575963,9.175422519547283e-7
0.00225830078125,-0.022411249577999115,-0.000029786035156575963,0.0000016021879218897084
0.0028076171875,-0.022411249577999115,-0.000029786035156575963,0.000002476427653164137
0.00341796875,-0.022411249577999115,-0.000029786035156575963,0.000003670169007818913
0.00396728515625,-0.022411249577999115,-0.000029786035156575963,0.000004944663032802055
0.0045166015625,-0.022411249577999115,-0.000029786035156575963,0.0000064087516875588335
0.00506591796875,-0.022411249577999115,-0.000029786035156575963,0.000008062434062594548
0.00567626953125,-0.022411249577999115,-0.000029786035156575963,0.000010122223102371208
0.0062255859375,0.00415043393149972,-0.000029786035156575963,0.00001217615954374196
0.00677490234375,0.012450898066163063,-0.000029786035156575963,0.0000144196910696337
0.00732421875,0.00415043393149972,-0.000029786035156575963,0.000016852816770551726
0.00787353515625,0.00415043393149972,-0.000029786035156575963,0.000019475535737001337
0.00848388671875,0.00415043393149972,-0.000029786035156575963,0.000022612031898461282
0.009033203125,0.015771081671118736,-0.000029786035156575963,0.000025635006750235334
0.00958251953125,0.009130711667239666,-0.000029786035156575963,0.00002884757486754097
0.0101318359375,0.0024903416633605957,-0.000029786035156575963,0.00003224973625037819
0.0107421875,0.007470619864761829,-0.000014893017578287981,0.00003625228055170737
0.01129150390625,-0.005810324102640152,-0.000014893017578287981,0.00004005469600087963
0.0118408203125,0.007470619864761829,0,0.00004404670835356228
0.01239013671875,-0.007470416370779276,0,0.00004822831033379771
0.012939453125,-0.002490138867869973,0,0.00005259950921754353
0.0135498046875,-0.0008300463086925447,0,0.00005767876064055599
0.01409912109375,0.0141109898686409,0.000014893017578287981,0.00006245021359063685
0.0146484375,-0.010790602304041386,0.000014893017578287981,0.00006741125980624929
0.01519775390625,-0.005810324102640152,0.000014893017578287981,0.00007256190292537212
0.0157470703125,0.0024903416633605957,0.000029786035156575963,0.00007790213567204773
0.016357421875,-0.009130509570240974,0.000029786035156575963,0.00008405809057876468
0.01690673828125,0.007470619864761829,0.00004467905091587454,0.00008979858102975413
0.0174560546875,-0.007470416370779276,0.00004467905091587454,0.00009572866110829636
0.01800537109375,-0.002490138867869973,0.00004467905091587454,0.00010184833809034899
0.01861572265625,-0.0008300463086925447,0.000059572070313151926,0.00010887034295592457
0.0191650390625,0.007470619864761829,0.000059572070313151926,0.00011539027036633343
0.01971435546875,-0.0008300463086925447,0.00007446508971042931,0.00012209979468025267
0.020263671875,-0.002490138867869973,0.00007446508971042931,0.0001289989158976823
0.02081298828125,0.005810527130961418,0.00008935810183174908,0.0001360876194667071
0.02142333984375,-0.002490138867869973,0.00008935810183174908,0.00014418632781598717
0.02197265625,0.007470619864761829,0.00010425112122902647,0.00015167529636528343
0.02252197265625,-0.0008300463086925447,0.00010425112122902647,0.00015935384726617485
0.0230712890625,0.007470619864761829,0.00011914414062630385,0.00016722199507057667
0.02362060546875,-0.004150231834501028,0.00011914414062630385,0.00017527973977848887
0.02423095703125,0.009130711667239666,0.00013403715274762362,0.0001844551443355158
0.0247802734375,-0.002490138867869973,0.00013403715274762362,0.00019291313947178423
0.02532958984375,0.007470619864761829,0.00014893017942085862,0.00020156071695964783
0.02587890625,-0.004150231834501028,0.00014893017942085862,0.00021039789135102183
0.0264892578125,0.007470619864761829,0.0001638231915421784,0.00022043933859094977
0.02703857421875,0.017431175336241722,0.0001638231915421784,0.00022967676341068
0.027587890625,0.005810527130961418,0.00017871620366349816,0.0002391037851339206
0.02813720703125,0.0008302488713525236,0.00017871620366349816,0.0002487204037606716
0.0286865234375,0.009130711667239666,0.00019360923033673316,0.00025852659018710256
0.029296875,0.00415043393149972,0.00019360923033673316,0.0002696447481866926
0.02984619140625,0.020751360803842545,0.00020850224245805293,0.000279851199593395
0.0303955078125,0.005810527130961418,0.0002233952545793727,0.00029024723335169256
0.03094482421875,-0.005810324102640152,0.0002233952545793727,0.0003008328494615853
0.03155517578125,0.009130711667239666,0.0002382882812526077,0.0003128170210402459
0.0321044921875,0.024071544408798218,0.0002531812933739275,0.0003238029021304101
0.03265380859375,-0.007470416370779276,0.0002531812933739275,0.0003349783655721694
0.033203125,0.012450898066163063,0.00026807430549524724,0.00034634341136552393
0.03375244140625,0.005810527130961418,0.000282967317616567,0.0003578980395104736
0.03436279296875,0.0024903416633605957,0.000282967317616567,0.0003709589072968811
0.034912109375,0.02241145260632038,0.00029786035884171724,0.00038291377131827176
0.03546142578125,0.009130711667239666,0.000312753370963037,0.00039505824679508805
0.0360107421875,0.009130711667239666,0.0003276463830843568,0.0004073923046234995
0.03656005859375,-0.005810324102640152,0.0003276463830843568,0.00041991594480350614
0.03717041015625,0.012450898066163063,0.00034253939520567656,0.00043405345058999956
0.0377197265625,0.020751360803842545,0.0003574324073269963,0.0004469773266464472
0.03826904296875,0.005810527130961418,0.0003723254194483161,0.0004600908141583204
0.038818359375,-0.0008300463086925447,0.0003872184606734663,0.0004733938549179584
0.0394287109375,-0.007470416370779276,0.0004021114727947861,0.0004883973742835224
0.03997802734375,0.02241145260632038,0.00041700448491610587,0.0005021006218157709
0.04052734375,-0.004150231834501028,0.00041700448491610587,0.0005159935099072754
0.04107666015625,0.010790804401040077,0.00043189749703742564,0.0005300759221427143
0.0416259765625,0.0141109898686409,0.0004467905091587454,0.0005443479749374092
0.042236328125,-0.0008300463086925447,0.00046168355038389564,0.0005604281323030591
0.04278564453125,0.01909126713871956,0.0004765765625052154,0.0005751003627665341
0.0433349609375,0.007470619864761829,0.0004914695746265352,0.0005899621755816042
0.04388427734375,0.0008302488713525236,0.000506362586747855,0.0006050135707482696
0.04443359375,-0.004150231834501028,0.000506362586747855,0.00062025454826653
0.0450439453125,0.005810527130961418,0.0005361486109904945,0.0006374113145284355
0.04559326171875,0.01909126713871956,0.0005361486109904945,0.000653052527923137
0.046142578125,0.010790804401040077,0.000565934635233134,0.0006688833236694336
0.04669189453125,0.0008302488713525236,0.000565934635233134,0.0006849036435596645
0.04730224609375,0.012450898066163063,0.0005957207176834345,0.0007029263651929796
0.0478515625,0.015771081671118736,0.0006106137298047543,0.0007193469209596515
0.04840087890625,0.0024903416633605957,0.000625506741926074,0.0007359570008702576
0.0489501953125,-0.002490138867869973,0.0006403997540473938,0.0007527567213401198
0.04949951171875,0.010790804401040077,0.0006552927661687136,0.0007697459659539163
0.05010986328125,-0.002490138867869973,0.0006701857782900333,0.000788845238275826
0.0506591796875,0.02739173173904419,0.0006999718025326729,0.0008062346605584025
0.05120849609375,0.00415043393149972,0.0007148648146539927,0.0008238137234002352
0.0517578125,-0.004150231834501028,0.0007297578267753124,0.0008415822521783412
0.05230712890625,-0.004150231834501028,0.0007446508388966322,0.0008595404215157032
0.05291748046875,0.012450898066163063,0.0007595439092256129,0.0008797161863185465
0.053466796875,0.025731639936566353,0.0007744369213469326,0.0008980745333246887
0.05401611328125,0.012450898066163063,0.0008042229455895722,0.0009166224044747651
0.0545654296875,-0.0008300463086925447,0.000819115957710892,0.0009353597997687757
0.05517578125,-0.002490138867869973,0.0008340089698322117,0.0009564014617353678
0.05572509765625,0.025731639936566353,0.0008637949940748513,0.0009755390929058194
0.0562744140625,0.0008302488713525236,0.000878688006196171,0.0009948662482202053
0.05682373046875,-0.004150231834501028,0.0008935810183174908,0.0010143829276785254
0.057373046875,0.007470619864761829,0.0009084740304388106,0.0010340891312807798
0.0579833984375,0.005810527130961418,0.000938260112889111,0.0010562072275206447
0.05853271484375,0.017431175336241722,0.0009531531250104308,0.0010763135505840182
0.05908203125,0.0024903416633605957,0.0009680461371317506,0.0010966095142066479
0.05963134765625,0.0024903416633605957,0.0009978321613743901,0.0011170950019732118
0.06024169921875,-0.002490138867869973,0.00101272517349571,0.0011400788789615035
0.060791015625,0.015771081671118736,0.0010425111977383494,0.0011609644861891866
0.06134033203125,-0.002490138867869973,0.0010574042098596692,0.001182039501145482
0.0618896484375,0.0008302488713525236,0.0010871902341023088,0.0012033041566610336
0.06243896484375,-0.002490138867869973,0.0011020832462236285,0.0012247583363205194
0.06304931640625,-0.002490138867869973,0.001131869270466268,0.001248818589374423
0.0635986328125,0.024071544408798218,0.0011467622825875878,0.001270672888495028
0.06414794921875,0.005810527130961418,0.0011765484232455492,0.0012927165953442454
0.064697265625,-0.017430972307920456,0.001191441435366869,0.001314949942752719
0.06524658203125,0.0008302488713525236,0.0012212274596095085,0.0013373726978898048
0.06585693359375,0.0024903416633605957,0.0012361204717308283,0.0013625092105939984
0.06640625,0.02739173173904419,0.0012659064959734678,0.0013853320851922035
0.06695556640625,0.007470619864761829,0.0012956925202161074,0.0014083444839343429
0.0675048828125,-0.017430972307920456,0.0013105855323374271,0.0014315464068204165
0.068115234375,0.0008302488713525236,0.0013403715565800667,0.0014575484674423933
0.06866455078125,0.017431175336241722,0.0013552645687013865,0.0014811503933742642
0.0692138671875,0.012450898066163063,0.001385050592944026,0.0015049418434500694
0.06976318359375,-0.002490138867869973,0.0013999436050653458,0.001528922701254487
0.0703125,0.0024903416633605957,0.0014297296293079853,0.001553093083202839
0.0709228515625,0.007470619864761829,0.001444622641429305,0.001580171287059784
0.07147216796875,0.034032102674245834,0.0014744086656719446,0.001604741788469255
0.072021484375,0.007470619864761829,0.001504194806329906,0.0016295015811920166
0.07257080078125,-0.004150231834501028,0.0015190878184512258,0.0016544508980587125
0.0731201171875,0.0024903416633605957,0.0015488738426938653,0.0016795897390693426
0.07373046875,0.007470619864761829,0.0015786598669365048,0.001707743969745934
0.07427978515625,0.02739173173904419,0.0016084458911791444,0.0017332826973870397
0.0748291015625,-0.004150231834501028,0.0016233389033004642,0.0017590109491720796
0.07537841796875,-0.0008300463086925447,0.0016531249275431037,0.0017849286086857319
0.07598876953125,0.007470619864761829,0.0016680179396644235,0.0018139481544494629
0.0765380859375,0.030711917206645012,0.001697803963907063,0.0018402658170089126
0.07708740234375,0.012450898066163063,0.0017275899881497025,0.0018667728872969747
0.07763671875,-0.0008300463086925447,0.001757376012392342,0.0018934692488983274
0.07818603515625,-0.0008300463086925447,0.0017871620366349816,0.0019203551346436143
0.07879638671875,-0.004150231834501028,0.0018020550487563014,0.0019504505908116698
0.079345703125,0.034032102674245834,0.0018318411894142628,0.0019777363631874323
0.07989501953125,0.012450898066163063,0.0018616272136569023,0.002005211543291807
0.0804443359375,-0.0008300463086925447,0.0018914132378995419,0.0020328760147094727
0.0810546875,-0.005810324102640152,0.0019211992621421814,0.002063836669549346
0.08160400390625,0.025731639936566353,0.001950985286384821,0.002091901144012809
0.0821533203125,0.005810527130961418,0.0019807713106274605,0.0021201549097895622
0.08270263671875,-0.007470416370779276,0.0020105573348701,0.0021485979668796062
0.083251953125,-0.004150231834501028,0.0020403433591127396,0.0021772305481135845
0.0838623046875,0.00415043393149972,0.002070129383355379,0.002209266647696495
0.08441162109375,0.034032102674245834,0.0020999154075980186,0.002238298999145627
0.0849609375,0.010790804401040077,0.002129701431840658,0.0022675206419080496
0.08551025390625,-0.004150231834501028,0.0021594874560832977,0.0022969315759837627
0.0860595703125,0.0008302488713525236,0.0021892734803259373,0.00232653203420341
0.086669921875,0.0008302488713525236,0.002219059504568577,0.0023596433456987143
