t,tauM,thetaM,Output
0.0005645751953125,-0.022411249577999115,0,1.0013674511810677e-7
0.001129150390625,-0.022411249577999115,0,4.005469804724271e-7
0.0016937255859375,-0.022411249577999115,0,9.012306918521062e-7
0.00225830078125,-0.022411249577999115,0,0.0000016021879218897084
0.00281524658203125,-0.022411249577999115,0,0.0000024899050004023593
0.00337982177734375,-0.022411249577999115,0,0.000003588702611523331
0.00394439697265625,-0.022411249577999115,0,0.000004887774139206158
0.0045013427734375,-0.022411249577999115,0,0.0000063655224948888645
0.00506591796875,-0.02075115777552128,0,0.000008062434062594548
0.0056304931640625,-0.007470416370779276,0,0.000009959620001609437
0.006195068359375,-0.014110786840319633,0,0.000012057078492944129
0.00675201416015625,-0.01577087864279747,0,0.000014322425158752594
0.00731658935546875,-0.012450694106519222,0,0.00001681772482697852
0.00788116455078125,-0.005810324102640152,0,0.00001951329795701895
0.00844573974609375,-0.009130509570240974,0,0.00002240914363937918
0.009002685546875,-0.01577087864279747,0,0.000025462089979555458
0.0095672607421875,-0.017430972307920456,0,0.000028755775929312222
0.0101318359375,-0.019091065973043442,0,0.00003224973625037819
0.01068878173828125,0.00415043393149972,0,0.00003589271364035085
0.01125335693359375,-0.01577087864279747,0,0.00003978451422881335
0.01181793212890625,-0.010790602304041386,0,0.00004387658918858506
0.01238250732421875,-0.019091065973043442,0,0.000048168934881687164
0.012939453125,-0.005810324102640152,0,0.00005259950921754353
0.0135040283203125,-0.002490138867869973,0,0.00005728969699703157
0.014068603515625,0.0008302488713525236,0.000014893017578287981,0.00006218015914782882
0.0146331787109375,-0.017430972307920456,0.000014893017578287981,0.00006727089203195646
0.01519012451171875,-0.014110786840319633,0.000014893017578287981,0.00007248906331369653
0.01575469970703125,-0.017430972307920456,0.000014893017578287981,0.00007797763828421012
0.01631927490234375,-0.012450694106519222,0.000014893017578287981,0.00008366649126401171
0.016876220703125,0.0008302488713525236,0.000014893017578287981,0.00008947469177655876
0.0174407958984375,-0.0008300463086925447,0.000014893017578287981,0.00009556137956678867
0.01800537109375,-0.007470416370779276,0.000014893017578287981,0.00010184833809034899
0.0185699462890625,-0.002490138867869973,0.000014893017578287981,0.00010833557462319732
0.01912689208984375,-0.007470416370779276,0.000014893017578287981,0.00011493137571960688
0.01969146728515625,-0.007470416370779276,0.000029786035156575963,0.00012181644706288353
0.02025604248046875,-0.019091065973043442,0.000029786035156575963,0.0001289017964154482
0.02082061767578125,-0.010790602304041386,0.000029786035156575963,0.00013618741650134325
0.0213775634765625,-0.02075115777552128,0.000029786035156575963,0.0001435708109056577
0.021942138671875,-0.005810324102640152,0.000029786035156575963,0.0001512542658019811
0.0225067138671875,-0.005810324102640152,0.000029786035156575963,0.0001591379987075925
